t(s),CH3CH3*,CH2CH2*,ClCH2CH2Cl*,CH3CH2*,ClCH2CH2*,H*,Cl*,TS12,TS16,TS47,TS49,PtCu111(*)
1.00000000e-10,-2.53054789e-16,1.92850536e-11,4.42495692e-02,6.68940516e-19,1.19317631e-13,4.76599267e-01,3.91421177e-11,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,4.79151163e-01
1.45000000e-10,8.88077921e-17,3.16312972e-11,5.67726210e-02,1.98354891e-18,1.53189557e-13,5.58428364e-01,6.45466843e-11,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,3.84799014e-01
1.90000000e-10,2.60722443e-16,4.38408479e-11,6.69877850e-02,4.17512598e-18,1.80819427e-13,6.12991352e-01,9.00002512e-11,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,3.20020863e-01
2.35000000e-10,-3.26779482e-16,5.55156850e-11,7.55692619e-02,7.29023895e-18,2.04030742e-13,6.51600574e-01,1.14698805e-10,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,2.72830164e-01
2.80000000e-10,1.03358043e-16,6.65098369e-11,8.29337644e-02,1.12894432e-17,2.23950581e-13,6.80118605e-01,1.38334978e-10,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,2.36947630e-01
3.25000000e-10,-3.31371487e-17,7.67846740e-11,8.93569999e-02,1.61597106e-17,2.41324673e-13,7.01877507e-01,1.60813441e-10,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,2.08765493e-01
3.70000000e-10,7.66288393e-18,8.63494300e-11,9.50309154e-02,2.18699133e-17,2.56673238e-13,7.18905853e-01,1.82134061e-10,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,1.86063232e-01
4.15000000e-10,-1.03939927e-18,9.52338016e-11,1.00094544e-01,2.83345460e-17,2.71187929e-13,7.32506233e-01,2.02338870e-10,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,1.67399223e-01
4.60000000e-10,-1.37070043e-16,1.03489301e-10,1.04651836e-01,3.55403720e-17,2.72864838e-13,7.43551442e-01,2.21501292e-10,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,1.51796722e-01
5.05000000e-10,4.77161427e-19,1.11124276e-10,1.08782560e-01,4.34276685e-17,2.95392776e-13,7.52646998e-01,2.39655210e-10,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,1.38570441e-01
5.50000000e-10,4.77674640e-21,1.18217148e-10,1.12549270e-01,5.19491174e-17,3.01955472e-13,7.60225356e-01,2.56905218e-10,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,1.27225374e-01
5.95000000e-10,5.08319294e-21,1.24782946e-10,1.16001927e-01,6.10602875e-17,3.17238393e-13,7.66603046e-01,2.73291738e-10,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,1.17395026e-01
6.40000000e-10,4.71304048e-21,1.30880249e-10,1.19181075e-01,7.07193795e-17,3.19858003e-13,7.72016675e-01,2.88897292e-10,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,1.08802250e-01
6.85000000e-10,1.65618639e-17,1.36523454e-10,1.22120061e-01,8.08870859e-17,3.29950251e-13,7.76646364e-01,3.03758454e-10,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,1.01233574e-01
7.30000000e-10,-6.58659642e-18,1.41754544e-10,1.24846652e-01,9.15265678e-17,3.37379942e-13,7.80631441e-01,3.17937596e-10,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,9.45219063e-02
7.75000000e-10,3.43755706e-18,1.46600753e-10,1.27384208e-01,1.02602887e-16,3.44210326e-13,7.84081207e-01,3.31480603e-10,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,8.85345841e-02
8.20000000e-10,1.97781281e-17,1.51089179e-10,1.29752570e-01,1.14084261e-16,3.50260496e-13,7.87082490e-01,3.44431595e-10,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,8.31649393e-02
8.65000000e-10,6.89623674e-17,1.55246229e-10,1.31968733e-01,1.25940566e-16,3.53856340e-13,7.89705044e-01,3.56832499e-10,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,7.83262227e-02
9.10000000e-10,9.98784290e-17,1.59097849e-10,1.34047363e-01,1.38143887e-16,3.51770202e-13,7.92005473e-01,3.68723429e-10,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,7.39471634e-02
9.55000000e-10,-1.34872148e-16,1.62638718e-10,1.36001207e-01,1.50668082e-16,3.70260571e-13,7.94030132e-01,3.80111962e-10,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,6.99686608e-02
1.00000000e-09,-3.07989656e-18,1.65924290e-10,1.37841407e-01,1.63488746e-16,3.73152786e-13,7.95817300e-01,3.91065344e-10,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,6.63412925e-02
1.45000000e-09,3.32814682e-21,1.87199314e-10,1.51696086e-01,3.03623278e-16,4.09973823e-13,8.05692452e-01,4.81121387e-10,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,4.26114612e-02
1.90000000e-09,1.58036931e-21,1.94717959e-10,1.60478413e-01,4.55552018e-16,4.35034319e-13,8.08712257e-01,5.47299236e-10,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,3.08093292e-02
2.35000000e-09,1.24718322e-21,1.94836762e-10,1.66573039e-01,6.10442832e-16,4.49756516e-13,8.09192447e-01,5.99582885e-10,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,2.42345127e-02
2.80000000e-09,1.04338470e-21,1.91024558e-10,1.71111723e-01,7.63603003e-16,4.62534831e-13,8.08547138e-01,6.43451757e-10,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,2.03411382e-02
3.25000000e-09,9.21727956e-22,1.85279660e-10,1.74702739e-01,9.12628248e-16,4.68798994e-13,8.07343665e-01,6.82139777e-10,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,1.79535949e-02
3.70000000e-09,-1.06103837e-19,1.78755010e-10,1.77697686e-01,1.05642406e-15,4.80485949e-13,8.05842689e-01,7.17617386e-10,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,1.64596244e-02
4.15000000e-09,3.89228328e-19,1.72139525e-10,1.80309084e-01,1.19465181e-15,4.87288608e-13,8.04176366e-01,7.51144391e-10,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,1.55145484e-02
4.60000000e-09,-9.98408929e-19,1.65813486e-10,1.82669069e-01,1.32740593e-15,4.93813092e-13,8.02416801e-01,7.83516955e-10,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,1.49141286e-02
5.05000000e-09,5.61583557e-19,1.59981972e-10,1.84861293e-01,1.45501683e-15,5.00542138e-13,8.00605523e-01,8.15253126e-10,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,1.45331831e-02
5.50000000e-09,-2.31940113e-19,1.54741158e-10,1.86939344e-01,1.57793575e-15,5.06680017e-13,7.98767398e-01,8.46691567e-10,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,1.42932574e-02
5.95000000e-09,6.50651193e-20,1.50121956e-10,1.88937822e-01,1.69665758e-15,5.10851008e-13,7.96917718e-01,8.78054553e-10,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,1.41444585e-02
6.40000000e-09,8.57982699e-20,1.46111186e-10,1.90879192e-01,1.81168423e-15,5.16151577e-13,7.95066054e-01,9.09483586e-10,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,1.40547529e-02
6.85000000e-09,3.11702249e-20,1.42678174e-10,1.92778097e-01,1.92349718e-15,5.21246162e-13,7.93218456e-01,9.41074602e-10,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,1.40034453e-02
7.30000000e-09,-8.88291977e-21,1.39779443e-10,1.94644120e-01,2.03254529e-15,5.26282340e-13,7.91378767e-01,9.72889190e-10,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,1.39771123e-02
7.75000000e-09,2.30181590e-21,1.37366974e-10,1.96483554e-01,2.13923879e-15,5.31270950e-13,7.89549420e-01,1.00496744e-09,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,1.39670250e-02
8.20000000e-09,1.59439128e-21,1.35392139e-10,1.98300551e-01,2.24394750e-15,5.36179633e-13,7.87731950e-01,1.03733520e-09,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,1.39674976e-02
8.65000000e-09,-5.06429305e-22,1.33807929e-10,2.00097868e-01,2.34700168e-15,5.41046955e-13,7.85927307e-01,1.07000888e-09,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,1.39748234e-02
9.10000000e-09,2.50412148e-21,1.32570359e-10,2.01877352e-01,2.44869410e-15,5.45861139e-13,7.84136063e-01,1.10299870e-09,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,1.39865843e-02
9.55000000e-09,8.04900420e-22,1.31639011e-10,2.03640252e-01,2.54928301e-15,5.50629915e-13,7.82358544e-01,1.13631079e-09,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,1.40012022e-02
1.00000000e-08,7.75393506e-22,1.30977258e-10,2.05387432e-01,2.64899525e-15,5.55356989e-13,7.80594919e-01,1.16994857e-09,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,1.40176472e-02
1.45000000e-08,7.33651742e-22,1.33498498e-10,2.22077473e-01,3.63118424e-15,6.00512665e-13,7.63716723e-01,1.52424667e-09,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,1.42058020e-02
1.90000000e-08,7.42465760e-22,1.42899825e-10,2.37465215e-01,4.63905840e-15,6.42144439e-13,7.48144796e-01,1.91015603e-09,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,1.43899861e-02
2.35000000e-08,6.94782239e-22,1.53658514e-10,2.51667886e-01,5.69792992e-15,6.80569636e-13,7.33768196e-01,2.32601285e-09,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,1.45639147e-02
2.80000000e-08,7.47852496e-22,1.64328668e-10,2.64786678e-01,6.80989604e-15,7.16062116e-13,7.20485504e-01,2.77017770e-09,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,1.47278144e-02
3.25000000e-08,7.73964207e-22,1.74546368e-10,2.76912646e-01,7.97151552e-15,7.48868294e-13,7.08205299e-01,3.24107215e-09,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,1.48820520e-02
3.70000000e-08,7.48536998e-22,1.84232545e-10,2.88127980e-01,9.17832909e-15,7.79210594e-13,6.96844987e-01,3.73718072e-09,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,1.50270292e-02
4.15000000e-08,7.51997535e-22,1.93384097e-10,2.98507049e-01,1.04259724e-14,8.07290262e-13,6.86329779e-01,4.25705182e-09,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,1.51631668e-02
4.60000000e-08,7.95610709e-22,2.02017811e-10,3.08117289e-01,1.17104288e-14,8.33289779e-13,6.76591811e-01,4.79929822e-09,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,1.52908946e-02
5.05000000e-08,8.26142818e-22,2.10155329e-10,3.17019971e-01,1.30280610e-14,8.57374944e-13,6.67569379e-01,5.36259683e-09,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,1.54106443e-02
5.50000000e-08,8.02435952e-22,2.17819940e-10,3.25270869e-01,1.43755839e-14,8.79696680e-13,6.59206283e-01,5.94568818e-09,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,1.55228420e-02
5.95000000e-08,8.24880893e-22,2.25034711e-10,3.32920842e-01,1.57500347e-14,9.00392598e-13,6.51451245e-01,6.54737543e-09,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,1.56279055e-02
6.40000000e-08,8.05503680e-22,2.31822479e-10,3.40016338e-01,1.71487384e-14,9.19588378e-13,6.44257415e-01,7.16652306e-09,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,1.57262403e-02
6.85000000e-08,8.29842165e-22,2.38205459e-10,3.46599837e-01,1.85692791e-14,9.37398965e-13,6.37581917e-01,7.80205529e-09,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,1.58182380e-02
7.30000000e-08,8.42868123e-22,2.44205304e-10,3.52710249e-01,2.00094717e-14,9.53929634e-13,6.31385468e-01,8.45295430e-09,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,1.59042744e-02
7.75000000e-08,8.40529681e-22,2.49842944e-10,3.58383250e-01,2.14673388e-14,9.69276916e-13,6.25632032e-01,9.11825824e-09,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,1.59847088e-02
